[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [exec-1]: process started with pid [3307]
[exec-1] [INFO] [1700515610.741117026] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515610.805778200] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515610.809419056] [laserdrive]: Range at 90: 3.7397499084472656
[exec-1] [INFO] [1700515610.809760418] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515610.810067616] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515610.946013397] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515610.950088779] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515610.950446903] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515610.950805648] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515611.005029254] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515611.005525994] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515611.007854317] [laserdrive]: Range at -90: 0.23874999582767487
[exec-1] [INFO] [1700515611.010561755] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515611.067635718] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515611.068088542] [laserdrive]: Range at 90: 3.740000009536743
[exec-1] [INFO] [1700515611.068469239] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515611.068807937] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515611.133448798] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515611.134225141] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515611.134545873] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515611.135714005] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515611.202728816] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515611.203113831] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515611.205484411] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515611.205865118] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515611.331838326] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515611.332407293] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515611.332725731] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515611.333073475] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515611.419177920] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515611.419552365] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515611.419854192] [laserdrive]: Range at -90: 0.18799999356269836
[exec-1] [INFO] [1700515611.420439561] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515611.460579592] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515611.460934440] [laserdrive]: Range at 90: 3.7255001068115234
